A̱o,Mes,cantidad de Turistas Extranjeros,Tipo_Cambio_Promedio,PIB
2021,Enero,474344,"735,35","47,233"
2021,Febrero,512203,"724,39","47,233"
2021,Marzo,416751,"718,37","47,233"
2021,Abril,205573,"707,25","48,527"
2021,Mayo,450079,"724,92","48,527"
2021,Junio,386800,"719,17","48,527"
2021,Julio,690590,"747,93","49,036"
2021,Agosto,718821,"779,97","49,036"
2021,Septiembre,800034,"783,25","49,036"
2021,Octubre,868995,"816,81","54,304"
2021,Noviembre,803758,"797,80","54,304"
2021,Diciembre,1019744,"846,43","54,304"
2022,Enero,834816,"810,12","50,112"
2022,Febrero,673404,"805,25","50,112"
2022,Marzo,831339,"787,16","50,112"
2022,Abril,831172,"856,58","50,782"
2022,Mayo,772946,"826,26","50,782"
2022,Junio,708480,"919,97","50,782"
2022,Julio,777943,"911,42","49,389"
2022,Agosto,750612,"882,11","49,389"
2022,Septiembre,944483,"966,00","49,389"
2022,Octubre,970056,"945,31","53,177"
2022,Noviembre,842893,"905,70","53,177"
2022,Diciembre,957295,"859,51","53,177"
2023,Enero,576556,"810,37","49,969"
2023,Febrero,516418,"831,24","49,969"
2023,Marzo,484600,"789,32","49,969"
2023,Abril,468051,"811,75","50,729"
2023,Mayo,439384,"803,94","50,729"
2023,Junio,439949,"802,68","50,729"
2023,Julio,407712,"827,84","50,075"
2023,Agosto,481018,"854,22","50,075"
2023,Septiembre,589485,"888,34","50,075"
2023,Octubre,576327,"910,28","53,747"
2023,Noviembre,468854,"867,86","53,747"
2023,Diciembre,550813,"868,77","53,747"
2024,Enero,587168,"932,66","51,630"
2024,Febrero,513555,"980,19","51,630"
2024,Marzo,484600,"982,38","51,630"
2024,Abril,564600,"943,62","51,348"
2024,Mayo,491957,"917,98","51,348"
2024,Junio,512884,"919,49","51,348"
2024,Julio,516783,"956,58","51,073"
2024,Agosto,549500,"919,94","51,073"
2024,Septiembre,538544,"896,25","51,073"
2024,Octubre,649081,"934,84","55,589"
2024,Noviembre,517624,"977,32","55,589"
2024,Diciembre,655113,"971,65","55,895"
2025,Enero,1036584,"1.001,93",52928
2025,Febrero,757269,"956,63",52928
2025,Marzo,745779,"932,28",52928
2025,Abril,,"950,04",52921
2025,Mayo,,"939,43",52921
2025,Junio,,"936,29",52921
2025,Julio,,"951,27",
2025,Agosto,,"965,06",
2025,Septiembre,,"954,72",
2025,Octubre,,"959,36",
2025,Noviembre,,"943,4",
2025,Diciembre,,,